source,target,similarity_ranking
677618,737414,12
677618,20031,12
677618,55194,12
677618,782323,12
677618,606164,12
677618,783441,12
677618,26500,12
677618,323828,11
677618,361031,11
677618,447769,11
677618,994664,11
677618,169713,11
656142,683050,30
656142,547933,30
656142,406400,29
656142,33471,27
656142,598704,27
656142,20031,25
656142,87299,24
656142,637293,23
656142,26500,23
656142,149930,23
656142,994664,23
656142,607351,22
656142,143411,22
656142,800948,22
656142,138129,21
656142,783441,20
656142,735502,19
656142,911419,19
656142,939877,19
656142,555857,18
656142,606164,18
656142,231455,18
656142,860721,18
656142,387268,17
656142,838716,17
656142,201814,17
656142,286704,17
656142,456039,17
656142,434217,17
656142,920717,17
53568,911419,21
53568,406400,20
53568,153722,19
53568,505694,19
53568,776758,18
53568,605224,18
53568,997377,17
53568,735502,17
53568,26500,17
53568,415224,17
53568,201814,17
53568,338814,16
53568,886018,15
53568,755556,15
53568,231864,15
53568,122538,15
53568,683261,14
53568,404983,14
53568,897957,14
53568,36369,14
53568,77142,14
53568,434217,14
53568,581790,13
53568,488287,13
53568,426203,13
53568,683050,13
53568,435540,13
53568,33471,13
53568,68677,13
53568,338183,13
580152,680986,14
580152,918922,14
580152,231864,12
580152,887867,12
580152,33471,12
580152,798084,12
580152,196950,12
580152,194344,12
580152,202776,12
580152,505694,12
580152,26500,12
580152,822198,12
580152,952442,12
580152,605224,11
580152,909273,11
580152,138129,11
580152,406400,10
580152,232528,10
580152,218080,9
580152,557679,9
580152,675594,9
580152,716612,9
580152,582137,9
580152,911419,9
580152,296490,9
580152,644851,9
580152,605917,9
580152,683261,9
580152,302776,9
580152,338183,8
149930,20031,75
149930,547933,59
149930,800948,53
149930,456039,50
149930,286704,46
149930,607351,44
149930,902793,41
149930,406400,41
149930,994664,39
149930,505694,36
149930,758884,36
149930,683050,35
149930,138129,34
149930,767782,34
149930,395611,34
149930,33471,33
149930,535632,33
149930,920717,33
149930,194344,33
149930,201814,32
149930,735815,32
149930,706776,32
149930,302776,32
149930,361031,32
149930,606164,31
149930,284112,31
149930,261470,31
149930,232215,31
149930,109782,30
149930,963787,30
239362,580947,13
239362,803982,12
239362,952959,11
239362,736652,11
239362,210356,10
239362,754420,9
239362,239986,9
239362,386592,9
239362,843626,9
239362,605781,8
239362,168298,8
239362,582014,8
239362,637414,8
239362,698672,7
239362,547933,7
239362,287210,7
239362,111337,7
239362,839311,6
239362,64731,6
239362,843412,6
239362,707234,6
239362,379565,6
239362,811322,6
239362,781037,6
239362,920717,6
239362,162061,6
239362,64599,6
239362,187096,6
239362,102628,6
239362,869295,5
371775,547933,42
371775,284112,35
371775,800948,33
371775,286704,32
371775,149930,28
371775,20031,27
371775,994664,26
371775,456039,26
371775,607351,25
371775,169713,24
371775,606164,24
371775,231455,24
371775,598704,24
371775,406400,22
371775,758884,22
371775,405952,22
371775,902793,21
371775,33471,21
371775,405033,20
371775,232627,20
371775,39362,20
371775,384988,19
371775,783441,19
371775,202651,19
371775,361031,19
371775,735815,19
371775,920717,19
371775,683050,19
371775,736652,18
371775,333742,18
801021,406400,50
801021,505694,43
801021,606164,35
801021,994664,32
801021,20031,32
801021,33471,29
801021,196950,27
801021,350356,26
801021,607351,26
801021,961772,24
801021,776758,24
801021,302776,24
801021,26500,23
801021,68677,23
801021,163885,23
801021,384988,22
801021,100913,22
801021,535181,22
801021,829879,22
801021,363822,21
801021,897957,21
801021,547933,21
801021,822198,20
801021,153722,20
801021,138605,20
801021,637293,20
801021,109782,20
801021,286704,20
801021,683261,20
801021,920717,19
173028,505694,46
173028,406400,42
173028,100913,36
173028,338814,36
173028,606164,35
173028,384002,35
173028,776758,35
173028,33471,33
173028,350356,32
173028,683261,29
173028,26500,29
173028,483022,28
173028,911419,28
173028,196950,28
173028,918922,27
173028,160411,26
173028,68677,25
173028,284436,25
173028,40152,24
173028,605224,24
173028,861764,23
173028,707349,23
173028,385149,22
173028,994664,22
173028,138637,22
173028,435540,22
173028,384988,22
173028,20031,22
173028,482484,21
173028,604000,21
634485,287904,16
634485,202490,15
634485,102628,14
634485,387891,12
634485,766748,12
634485,634191,10
634485,262174,10
634485,20303,10
634485,231802,9
634485,918922,8
634485,682112,8
634485,994664,8
634485,781429,7
634485,698881,7
634485,360804,7
634485,426444,6
634485,554427,6
634485,736138,6
634485,384002,6
634485,333208,6
634485,483553,6
634485,604000,6
634485,363822,6
634485,736652,6
634485,680956,5
634485,387581,5
634485,939877,5
634485,537016,5
634485,302776,5
634485,483022,5
995619,767782,17
995619,666372,15
995619,350278,13
995619,229150,11
995619,456039,10
995619,219912,9
995619,160411,9
995619,791422,9
995619,939877,9
995619,332182,8
995619,301721,8
995619,994664,8
995619,163885,8
995619,203832,7
995619,361031,7
995619,111635,7
995619,605781,7
995619,813416,7
995619,736138,7
995619,547933,7
995619,284436,7
995619,811322,7
995619,231455,7
995619,737508,7
995619,319860,7
995619,829616,7
995619,95089,6
995619,655448,6
995619,196950,6
995619,922667,6
360804,911419,13
360804,994664,13
360804,736652,13
360804,767782,11
360804,243399,11
360804,333208,10
360804,20303,10
360804,333308,9
360804,268275,9
360804,861515,9
360804,536420,9
360804,332182,9
360804,735815,9
360804,909475,8
360804,229150,8
360804,634540,8
360804,359918,8
360804,605224,8
360804,195509,7
360804,707549,7
360804,780677,7
360804,963787,7
360804,605781,7
360804,90528,7
360804,372801,7
360804,706776,7
360804,831088,7
360804,201356,7
360804,680843,7
360804,301721,7
961560,574084,15
961560,607351,15
961560,706776,15
961560,809608,12
961560,85254,12
961560,606962,12
961560,149930,12
961560,302776,12
961560,20031,11
961560,138129,11
961560,534037,11
961560,456039,11
961560,698961,11
961560,187759,10
961560,232215,9
961560,507267,9
961560,535632,9
961560,482695,9
961560,258717,9
961560,331801,9
961560,33471,9
961560,735033,9
961560,644654,9
961560,109782,9
961560,800948,9
961560,665719,9
961560,555997,8
961560,581982,8
961560,71271,8
961560,405952,8
208511,168087,21
208511,861515,21
208511,339474,20
208511,465327,17
208511,64928,17
208511,950726,16
208511,268275,15
208511,100192,15
208511,111635,14
208511,735869,13
208511,860128,12
208511,18665,12
208511,359918,12
208511,208706,11
208511,358068,10
208511,371820,10
208511,593324,10
208511,681371,9
208511,949342,9
208511,950003,9
208511,588189,8
208511,736559,8
208511,230772,8
208511,208065,8
208511,823327,8
208511,755213,8
208511,984363,7
208511,385908,7
208511,683067,7
208511,605224,7
387891,994664,49
387891,26500,47
387891,231802,41
387891,766748,41
387891,406400,40
387891,363822,39
387891,735502,38
387891,683050,38
387891,33471,38
387891,887867,34
387891,897957,33
387891,231864,33
387891,736652,32
387891,68677,31
387891,196950,31
387891,605224,31
387891,776758,31
387891,605917,30
387891,262174,30
387891,939877,29
387891,153722,28
387891,963787,27
387891,911419,27
387891,338183,27
387891,387268,27
387891,387358,26
387891,756099,26
387891,185145,26
387891,783441,26
387891,581790,25
839311,803982,34
839311,736652,33
839311,168298,31
839311,546644,31
839311,537134,29
839311,933855,26
839311,843626,26
839311,781037,24
839311,605781,23
839311,210356,22
839311,111337,22
839311,287210,22
839311,464228,21
839311,707234,21
839311,869295,21
839311,637414,21
839311,754420,21
839311,111635,20
839311,404983,20
839311,580947,19
839311,350486,18
839311,698672,17
839311,582014,17
839311,131618,16
839311,338183,15
839311,100192,15
839311,232434,15
839311,339715,15
839311,64731,14
839311,187096,14
919611,970498,14
919611,791422,13
919611,868323,11
919611,736652,11
919611,547933,10
919611,243399,10
919611,363822,10
919611,838716,10
919611,333308,9
919611,20031,9
919611,258717,9
919611,637778,9
919611,195509,9
919611,920717,9
919611,29656,8
919611,333208,8
919611,348307,8
919611,100913,8
919611,26254,8
919611,332182,8
919611,262448,8
919611,95089,8
919611,302776,8
919611,160411,8
919611,505694,7
919611,50997,7
919611,406400,7
919611,995791,7
919611,194344,7
919611,59067,7
133333,233186,13
133333,20031,12
133333,168909,11
133333,860982,11
133333,26500,11
133333,994664,11
133333,535357,11
133333,606738,11
133333,963787,10
133333,387268,10
133333,333742,9
133333,637293,9
133333,138129,9
133333,258919,9
133333,680986,9
133333,681076,9
133333,33471,9
133333,606164,9
133333,482272,9
133333,406400,9
133333,50719,8
133333,911419,8
133333,361031,8
133333,202017,8
133333,330162,8
133333,231455,8
133333,506652,8
133333,775840,7
133333,505694,7
133333,480009,7
210356,168298,39
210356,754420,34
210356,803982,34
210356,736652,33
210356,843626,31
210356,637414,31
210356,580947,29
210356,537134,26
210356,781037,26
210356,111337,26
210356,350486,25
